title,r_psp_MMGBSA_dG_Bind,r_psp_MMGBSA_dG_Bind_Coulomb,r_psp_MMGBSA_dG_Bind_Covalent,r_psp_MMGBSA_dG_Bind_Hbond,r_psp_MMGBSA_dG_Bind_Lipo,r_psp_MMGBSA_dG_Bind_Packing,r_psp_MMGBSA_dG_Bind_SelfCont,r_psp_MMGBSA_dG_Bind_Solv_GB,r_psp_MMGBSA_dG_Bind_Solv_SA,r_psp_MMGBSA_dG_Bind_vdW,r_psp_Lig_Strain_Energy,r_psp_Lig_Strain_Coulomb,r_psp_Lig_Strain_Covalent,r_psp_Lig_Strain_Hbond,r_psp_Lig_Strain_Lipo,r_psp_Lig_Strain_Packing,r_psp_Lig_Strain_SelfCont,r_psp_Lig_Strain_Solv_GB,r_psp_Lig_Strain_Solv_SA,r_psp_Lig_Strain_vdW,r_psp_Ligand_Energy,r_psp_Ligand_Coulomb,r_psp_Ligand_Covalent,r_psp_Ligand_Hbond,r_psp_Ligand_Lipo,r_psp_Ligand_Packing,r_psp_Ligand_SelfCont,r_psp_Ligand_Solv_GB,r_psp_Ligand_Solv_SA,r_psp_Ligand_vdW,r_psp_Complex_Energy,r_psp_Complex_Coulomb,r_psp_Complex_Covalent,r_psp_Complex_Hbond,r_psp_Complex_Lipo,r_psp_Complex_Packing,r_psp_Complex_SelfCont,r_psp_Complex_Solv_GB,r_psp_Complex_Solv_SA,r_psp_Complex_vdW,r_psp_Ligand_Energy,r_psp_Ligand_Coulomb,r_psp_Ligand_Covalent,r_psp_Ligand_Hbond,r_psp_Ligand_Lipo,r_psp_Ligand_Packing,r_psp_Ligand_SelfCont,r_psp_Ligand_Solv_GB,r_psp_Ligand_Solv_SA,r_psp_Ligand_vdW,r_psp_Receptor_Energy,r_psp_Receptor_Coulomb,r_psp_Receptor_Covalent,r_psp_Receptor_Hbond,r_psp_Receptor_Lipo,r_psp_Receptor_Packing,r_psp_Receptor_SelfCont,r_psp_Receptor_Solv_GB,r_psp_Receptor_Solv_SA,r_psp_Receptor_vdW,r_psp_MMGBSA_dG_Bind(NS),r_psp_MMGBSA_dG_Bind(NS)_Coulomb,r_psp_MMGBSA_dG_Bind(NS)_Covalent,r_psp_MMGBSA_dG_Bind(NS)_Hbond,r_psp_MMGBSA_dG_Bind(NS)_Lipo,r_psp_MMGBSA_dG_Bind(NS)_Packing,r_psp_MMGBSA_dG_Bind(NS)_SelfCont,r_psp_MMGBSA_dG_Bind(NS)_Solv_GB,r_psp_MMGBSA_dG_Bind(NS)_Solv_SA,r_psp_MMGBSA_dG_Bind(NS)_vdW,r_psp_Rec_Strain_Energy,r_psp_Rec_Strain_Coulomb,r_psp_Rec_Strain_Covalent,r_psp_Rec_Strain_Hbond,r_psp_Rec_Strain_Lipo,r_psp_Rec_Strain_Packing,r_psp_Rec_Strain_SelfCont,r_psp_Rec_Strain_Solv_GB,r_psp_Rec_Strain_Solv_SA,r_psp_Rec_Strain_vdW,r_psp_Prime_MMGBSA_ligand_efficiency,r_psp_Prime_MMGBSA_ligand_efficiency_sa,r_psp_Prime_MMGBSA_ligand_efficiency_ln
HMDB33665 ZINC000085847766 hmdbtoxin,-59.118839149668,-1140.7741128037,27.1210050146277,0.0,-5.50714245567625,0.0,0.0,1079.21397784232,,-19.1725667472453,16.4932539702101,9.70245485004267,13.8087201258676,0.0,-0.0476920292980349,0.0,0.0,-5.36423125606416,,-1.60599772033795,-103.288733403511,0.104481796081707,14.4853811232955,0.0,-0.414862988214925,0.0,0.0,-125.592202534122,,8.12846919944889,-4769.29959858608,391.76601111468,495.86687366032,0.0,-60.5399372130889,0.0,0.0,-5616.51185258758,,20.1193064395917,-103.288733403511,0.104481796081707,14.4853811232955,0.0,-0.414862988214925,0.0,0.0,-125.592202534122,,8.12846919944889,-4606.8920260329,1532.4356421223,454.260487522397,0.0,-54.6179317691977,0.0,0.0,-6570.13362789578,,31.1634039873881,-85.3825988858416,-1198.31819530186,-4.54747350886464e-13,0.0,-3.81556886328656,0.0,0.0,1141.62388755294,,-24.872722273638,9.77050576596321,47.8416276481137,13.3122848887606,0.0,-1.64388156309165,0.0,0.0,-57.0456784545577,,7.30615324673068,-2.57038431085513,-3.8555764662827,-14.2954713663855
endogenous	CA,-73.7385691743721,-641.708669446221,8.19363493315933,0.0,-7.71878750043064,0.0,0.0,590.746173914228,,-23.2509210751151,4.87895788107119,-2.45046587655482,5.34868856395874,0.0,0.0415235230503987,0.0,0.0,0.739426141141848,,1.19978552947505,-31.4115232863159,6.52446567156737,0.471886401115988,0.0,-0.674909136139557,0.0,0.0,-56.1185960820596,,18.3856298591998,-4712.04211849359,897.251438347646,462.926008856672,0.0,-63.0116284057679,0.0,0.0,-6035.50605006361,,26.2981127714729,-31.4115232863159,6.52446567156737,0.471886401115988,0.0,-0.674909136139557,0.0,0.0,-56.1185960820596,,18.3856298591998,-4606.8920260329,1532.4356421223,454.260487522397,0.0,-54.6179317691977,0.0,0.0,-6570.13362789578,,31.1634039873881,-83.4216062547348,-675.228752410855,-2.27373675443232e-13,0.0,-6.33584578963121,0.0,0.0,631.605987007743,,-33.4629950619932,4.80407919929166,35.970548841188,2.84494636920078,0.0,-1.42446523384982,0.0,0.0,-41.599239234657,,9.01228845740309,-4.096587176354,-6.144880764531,-18.9541189796855
HMDB0028880,-48.0301920441689,-308.281025824839,13.2487056149521,0.0,-7.24857841567826,0.0,0.0,277.095042884836,,-22.8443363034466,5.25059438618467,3.08110178235745,3.52509911546661,0.0,-0.0415489656680501,0.0,0.0,-0.736407031990154,,-0.577650513981171,-25.8651943297612,12.615620353344,14.8843624325692,0.0,-0.418029605921637,0.0,0.0,-58.568492836908,,5.62134532715537,-4680.78741240683,1236.77023665081,482.393555569918,0.0,-62.2845397907976,0.0,0.0,-6351.60707784785,,13.9404130110969,-25.8651943297612,12.615620353344,14.8843624325692,0.0,-0.418029605921637,0.0,0.0,-58.568492836908,,5.62134532715537,-4606.8920260329,1532.4356421223,454.260487522397,0.0,-54.6179317691977,0.0,0.0,-6570.13362789578,,31.1634039873881,-65.2966921225461,-304.11198225637,0.0,0.0,-6.5986229151639,0.0,0.0,282.900686808954,,-37.4867737599653,12.015905692193,-7.25014535082596,9.72360649948547,0.0,-0.60840653484631,0.0,0.0,-5.06923689212726,,15.2200879704999,-2.52790484442994,-3.79185726664491,-12.1766852771339
DB06824 ZINC000019364225 dball,-43.7970595049874,-426.691136374028,-3.45714872268013,0.0,-6.65958335524431,0.0,0.0,411.619155813607,,-18.6083468666483,0.772872669469379,-0.503002762550636,0.973473391111136,0.0,0.0124763017301613,0.0,0.0,0.244136115120739,,0.0457896240579649,7.43719088199657,85.4220652411799,4.4154659687263,0.0,-0.355176910986703,0.0,0.0,-83.6242959224616,,1.57913250553866,-4643.25189465589,1191.16657098945,455.218804768443,0.0,-61.6326920354287,0.0,0.0,-6242.13876800463,,14.1341896262784,7.43719088199657,85.4220652411799,4.4154659687263,0.0,-0.355176910986703,0.0,0.0,-83.6242959224616,,1.57913250553866,-4606.8920260329,1532.4356421223,454.260487522397,0.0,-54.6179317691977,0.0,0.0,-6570.13362789578,,31.1634039873881,-47.1786935463224,-519.811791870682,0.229890439331939,0.0,-6.64273393809916,0.0,0.0,508.279940811959,,-29.2339989888314,2.60876137186551,93.6236582592039,-4.66051255312317,0.0,-0.029325718875306,0.0,0.0,-96.9049211134734,,10.5798624981251,-4.37970595049874,-6.56955892574811,-13.2614477058885
biogenic	DF,-56.9257189874779,-343.333319279195,4.5963453476449,0.0,-11.3596594395447,0.0,0.0,313.532803227714,,-20.3618888441019,6.37721580094529,1.5357911496307,5.85178078206414,0.0,0.00693245688019717,0.0,0.0,-1.68010251962102,,0.662813931991311,-4.29342192164538,-10.3316498666004,20.2352953071466,0.0,-3.02310193416978,0.0,0.0,-19.9727161061233,,8.79875067810149,-4668.11116694202,1178.7706729765,479.092128177189,0.0,-69.0006931429122,0.0,0.0,-6276.57354077419,,19.6002658213877,-4.29342192164538,-10.3316498666004,20.2352953071466,0.0,-3.02310193416978,0.0,0.0,-19.9727161061233,,8.79875067810149,-4606.8920260329,1532.4356421223,454.260487522397,0.0,-54.6179317691977,0.0,0.0,-6570.13362789578,,31.1634039873881,-62.2721430987904,-334.137755749553,0.0,0.0,-11.6977680650336,0.0,0.0,320.980748672735,,-37.417367956938,-1.03079168963268,-10.7313546792736,-1.25543543441921,0.0,0.331176168608621,0.0,0.0,-5.76784292540015,,16.3926651808448,-2.47503126032513,-3.71254689048769,-13.7651550250538
biogenic	BC,-74.4725306264272,-1187.33038894712,1.36485587033962,0.0,-7.45480421258434,0.0,0.0,1132.87561581848,,-13.9278091555467,4.544044567198,4.05908271743158,2.42485811562956,0.0,0.0160373278254576,0.0,0.0,-2.38496323983478,,0.42902964614614,54.329601191357,144.920022454289,21.0241156393664,0.0,-0.96762440124834,0.0,0.0,-114.155740694033,,3.50882819298279,-4627.03495546797,490.025275629467,476.649459032103,0.0,-63.0403603830304,0.0,0.0,-5551.41375277133,,20.7444230248242,54.329601191357,144.920022454289,21.0241156393664,0.0,-0.96762440124834,0.0,0.0,-114.155740694033,,3.50882819298279,-4606.8920260329,1532.4356421223,454.260487522397,0.0,-54.6179317691977,0.0,0.0,-6570.13362789578,,31.1634039873881,-79.4121524194834,-1172.59135983822,-0.000157984324346216,0.0,-7.36610425425964,0.0,0.0,1128.1482147029,,-27.6027450455801,0.395577225858688,-18.7981118263326,-1.05984426096558,0.0,-0.104737286150161,0.0,0.0,7.11236435541196,,13.2459062438873,-4.38073709567219,-6.57110564350828,-19.4282248187162
endogenous	BA,-42.1636151454668,-419.901274272255,24.0673550231598,0.0,-9.70099272473677,0.0,0.0,397.05803489217,,-33.6867380638124,3.5205846544867,-0.456578384196437,4.19651118313605,0.0,0.0956670432429486,0.0,0.0,0.00471829892573794,,-0.319733486621608,-31.3721432994905,19.5399894831055,10.8792252393009,0.0,-0.612969054363067,0.0,0.0,-66.3939097286673,,5.21552076113346,-4680.42778447786,1132.07435733315,489.207067784858,0.0,-64.9318935482975,0.0,0.0,-6239.46950273228,,2.69218668470916,-31.3721432994905,19.5399894831055,10.8792252393009,0.0,-0.612969054363067,0.0,0.0,-66.3939097286673,,5.21552076113346,-4606.8920260329,1532.4356421223,454.260487522397,0.0,-54.6179317691977,0.0,0.0,-6570.13362789578,,31.1634039873881,-67.0942087403273,-531.177668463081,0.0,0.0,-7.29332258185608,0.0,0.0,509.63772853388,,-38.26094622927,21.4100089403737,111.732972575023,19.8708438400237,0.0,-2.50333718612363,0.0,0.0,-112.584411940636,,4.89394165207921,-2.48021265561569,-3.72031898342354,-10.9995482539071
biogenic	CC,-62.8526154646215,-862.048875993773,3.42984774668241,0.0,-8.82508819813155,0.0,0.0,831.445825177404,,-26.8543241968113,2.96224279466543,-2.0811407506486,3.15704072556726,0.0,-0.1455398956564,0.0,0.0,0.75839496480917,,1.273487750594,31.094014264854,77.4747492765645,17.124932232187,0.0,-1.92869543592371,0.0,0.0,-66.6891623171681,,5.11219050919432,-4638.65062723267,747.861515405092,474.815267501266,0.0,-65.371715403253,0.0,0.0,-5805.37696503554,,9.42127029977109,31.094014264854,77.4747492765645,17.124932232187,0.0,-1.92869543592371,0.0,0.0,-66.6891623171681,,5.11219050919432,-4606.8920260329,1532.4356421223,454.260487522397,0.0,-54.6179317691977,0.0,0.0,-6570.13362789578,,31.1634039873881,-66.6337552653076,-821.736847301912,0.154141247025109,0.0,-9.22439459080545,0.0,0.0,804.481920789311,,-40.3085754089256,0.818897006020961,-38.2308879412124,0.118665774090061,0.0,0.544846288330298,0.0,0.0,26.2055094232846,,12.1807634615203,-3.14263077323108,-4.71394615984662,-15.7299366327958
DB08985 ZINC000002040148 dball,-44.1721090796182,-232.120739983059,11.6638656761912,0.0,-14.2571323616572,0.0,0.0,217.335106529333,,-26.7932089404339,1.56804425469309,-1.92250902251183,2.95163395220962,0.0,-0.00489713307596329,0.0,0.0,0.900071317794897,,-0.356254859723611,-8.9435671160021,-1.06131691792949,3.16338045338723,0.0,-0.750540605026305,0.0,0.0,-20.8689601173302,,10.5738700708967,-4660.00770222852,1299.25358522131,469.087733651975,0.0,-69.6256047358813,0.0,0.0,-6373.66748148378,,14.9440651178509,-8.9435671160021,-1.06131691792949,3.16338045338723,0.0,-0.750540605026305,0.0,0.0,-20.8689601173302,,10.5738700708967,-4606.8920260329,1532.4356421223,454.260487522397,0.0,-54.6179317691977,0.0,0.0,-6570.13362789578,,31.1634039873881,-60.4004294334281,-315.624817444363,-5.6843418860808e-14,0.0,-12.6811076896287,0.0,0.0,300.960180635037,,-33.0546849344736,14.6602760991173,85.4265864838155,8.71223172398163,0.0,-1.57112753895256,0.0,0.0,-84.5251454234995,,6.61773085376337,-3.39785454458601,-5.09678181687902,-12.3906694458828
HMDB0032801,-46.2668252508129,-511.687808009587,11.8423854906715,0.0,-14.5316576604481,0.0,0.0,498.141803365281,,-30.0315484367362,2.81519722632615,1.38613201482181,0.603377172670855,0.0,0.0754234429547562,0.0,0.0,-0.564951352075838,,1.31521594795454,19.1030222864293,33.9211900764813,14.1131546085177,0.0,-2.75031399852312,0.0,0.0,-39.2217906789713,,13.0407822789248,-4634.05582899728,1054.66902418919,480.216027621586,0.0,-71.8999034281689,0.0,0.0,-6111.21361520947,,14.1726378295766,19.1030222864293,33.9211900764813,14.1131546085177,0.0,-2.75031399852312,0.0,0.0,-39.2217906789713,,13.0407822789248,-4606.8920260329,1532.4356421223,454.260487522397,0.0,-54.6179317691977,0.0,0.0,-6570.13362789578,,31.1634039873881,-64.3033319782617,-609.550058162163,2.27373675443232e-13,0.0,-14.5608405524394,0.0,0.0,608.734220831358,,-48.9266540950167,15.221309501123,96.4761181377542,11.2390083180004,0.0,-0.0462405509634607,0.0,0.0,-110.027466114002,,17.5798897103259,-2.20318215480061,-3.30477323220092,-11.4393790523401
